"Handle","Title","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src"
"tap-fixture-cleaner","Purelane Tap & Fixture Cleaner","Purelane","Cleaner","bestseller","TRUE","Title","Default","PL-TAP-500","500","shopify","25","deny","manual","349.00","449.00","TRUE","TRUE",""
"kitchen-multi-surface-cleaner","Purelane Kitchen Multi-Surface Cleaner","Purelane","Cleaner","toprated","TRUE","Title","Default","PL-KIT-500","500","shopify","40","deny","manual","299.00","379.00","TRUE","TRUE",""
"copper-brass-polish","Purelane Copper & Brass Polish","Purelane","Polish","new","TRUE","Title","Default","PL-CPR-250","250","shopify","15","deny","manual","449.00","549.00","TRUE","TRUE",""
"bio-enzyme-floor-tile-cleaner-concentrate","Purelane Bio-Enzyme Floor & Tile Cleaner Concentrate with Citrus Rind Extract, Neem Oil and Castile Soap for Everyday Hard Surface Mopping","Purelane","Cleaner","toprated","TRUE","Title","Default","PL-FLR-1000","1000","shopify","30","deny","manual","399.00","499.00","TRUE","TRUE",""
"toilet-cleaner-descaling-gel","Purelane Toilet Cleaner & Descaling Gel","Purelane","Cleaner","bestseller","TRUE","Title","Default","PL-TOL-500","500","shopify","50","deny","manual","249.00","329.00","TRUE","TRUE",""
"laundry-detergent-5l-refill","Purelane Laundry Detergent - 5L Refill","Purelane","Laundry","bestseller","TRUE","Title","Default","PL-LND-5000","5000","shopify","20","deny","manual","549.00","699.00","TRUE","TRUE",""
"dishwash-gel-citrus","Purelane Dishwash Gel - Citrus","Purelane","Kitchen","toprated","TRUE","Title","Default","PL-DSW-500","500","shopify","60","deny","manual","279.00","349.00","TRUE","TRUE",""
"handwash-neem-aloe","Purelane Handwash - Neem & Aloe","Purelane","Personal Care","new","TRUE","Title","Default","PL-HND-250","250","shopify","80","deny","manual","199.00","249.00","TRUE","TRUE",""
"washing-machine-cleaner-tablets","Purelane Washing-Machine Cleaner Tablets (6 pack)","Purelane","Laundry","bestseller","TRUE","Title","Default","PL-WMT-06","180","shopify","0","deny","manual","349.00","449.00","TRUE","TRUE",""
"magic-eraser-sponges","Purelane Magic Eraser Sponges (4 pack)","Purelane","Home","new","TRUE","Title","Default","PL-ERS-04","60","shopify","35","deny","manual","149.00","199.00","TRUE","TRUE",""
